Registration No.,Name,Age,Gender,Education,Interest,Emotional Stability (%),Conscientiousness (%),Openness (%),Thinking Score,Extroversion (%),Agreeableness (%),Neuroticism (%),Dominance (%),Risk Taking (%)
1621,Aryan,73,Female,Graduation,Reading,46,52,88,39,58,19,48,35,91
1622,Aryan,18,Female,Post Graduation,Sports,60,91,90,51,21,30,59,22,25
1626,Priya,42,Female,Post Graduation,Dancing,78,37,96,74,99,49,10,38,88
1634,Riya,89,Female,Graduation,Photography,37,41,92,77,49,36,22,17,1
1636,Sai,74,Female,Graduation,Reading,82,11,28,15,19,43,79,94,3
1639,Sai,62,Female,Post Graduation,Sports,18,35,94,58,21,14,55,60,55
1649,Aarav,23,Male,School,Traveling,96,46,41,6,92,84,67,71,22
1650,Ananya,38,Male,School,Dancing,21,91,44,14,46,61,95,86,36
1651,Sai,76,Male,Graduation,Painting,82,26,16,14,40,20,58,22,16
1652,Zara,32,Female,Graduation,Gaming,51,4,59,30,100,25,67,29,94
1654,Kabir,14,Female,Post Graduation,Gaming,86,64,68,65,90,68,97,38,85
1662,Aanya,20,Male,School,Cooking,90,79,49,73,75,100,24,54,18
1666,Tanvi,59,Male,Graduation,Gaming,60,55,59,63,35,47,92,16,67
1671,Ishita,77,Female,Post Graduation,Dancing,86,93,15,67,26,55,91,34,6
1672,Myra,44,Female,Graduation,Sports,90,79,12,38,78,78,16,91,23
1681,Aryan,25,Female,Graduation,Traveling,26,66,2,4,22,19,41,30,46
1687,Arjun,63,Male,Post Graduation,Writing,2,26,19,1,38,58,94,31,91
1696,Vihaan,11,Female,Post Graduation,Writing,76,22,37,62,37,6,34,90,59
1699,Priya,95,Male,School,Dancing,29,42,68,42,35,48,59,84,17
1700,Zara,8,Female,Graduation,Sports,73,38,14,87,58,88,11,26,81
1704,Aditya,4,Male,Graduation,Reading,47,58,12,63,75,91,13,30,99
1708,Myra,91,Male,Post Graduation,Reading,94,13,2,48,89,6,56,96,15
1709,Diya,44,Female,Post Graduation,Dancing,84,38,11,72,40,60,42,90,38
1711,Zara,26,Male,School,Dancing,62,90,66,71,70,97,56,5,44
1717,Rohan,58,Male,School,Sports,0,33,27,26,8,36,60,52,73
1720,Sai,42,Female,Post Graduation,Sports,15,49,23,15,9,74,59,9,17
1727,Sanya,27,Female,School,Traveling,39,95,56,57,97,31,74,37,7
1737,Rohan,98,Female,Graduation,Gaming,61,25,55,99,35,34,97,64,95
1741,Diya,73,Female,Graduation,Traveling,45,7,45,10,67,59,4,33,98
1744,Priya,6,Female,Post Graduation,Traveling,0,94,90,76,54,87,77,17,90
1754,Arjun,47,Female,Graduation,Painting,86,96,43,63,32,94,19,26,31
1757,Sai,90,Male,School,Sports,57,33,20,80,14,54,13,97,47
1776,Myra,18,Male,Graduation,Photography,1,79,94,31,26,60,92,18,64
1779,Arjun,40,Female,School,Photography,51,59,76,15,51,72,68,22,34
1789,Aanya,18,Male,Post Graduation,Music,81,73,61,77,82,17,88,46,87
1796,Tanvi,27,Female,Post Graduation,Painting,58,96,55,13,13,87,43,60,50
1808,Diya,93,Male,Graduation,Gaming,15,10,62,39,58,16,27,1,40
1811,Zara,85,Male,Graduation,Traveling,96,83,67,46,1,30,29,84,88
1816,Tanvi,85,Male,Graduation,Cooking,96,30,76,66,97,56,44,63,55
1818,Rohan,92,Female,Post Graduation,Photography,5,96,2,74,18,58,56,37,8
1822,Sai,20,Male,Graduation,Writing,64,30,9,77,7,57,48,11,11
1823,Aditya,54,Female,School,Music,76,11,55,12,46,1,1,70,78
1824,Vihaan,62,Female,Post Graduation,Writing,49,80,87,31,29,71,88,30,87
1835,Priya,13,Female,School,Reading,74,93,97,21,92,76,30,97,12
1844,Riya,79,Female,Post Graduation,Reading,97,50,31,25,44,49,91,66,84
1845,Zara,93,Female,Post Graduation,Reading,49,13,26,31,66,19,89,96,19
1849,Rohan,84,Female,School,Reading,99,59,90,89,56,70,55,35,37
1852,Vihaan,13,Male,School,Dancing,1,30,96,80,33,26,30,49,99
1854,Zara,66,Male,Post Graduation,Music,93,10,61,69,20,23,75,60,52
1855,Arjun,78,Male,Graduation,Gaming,52,7,25,37,86,64,12,20,22
1858,Tanvi,4,Male,Post Graduation,Photography,14,42,80,99,65,60,39,6,67
1862,Myra,78,Male,School,Writing,32,15,63,85,19,11,34,53,80
1866,Tanvi,48,Male,Post Graduation,Painting,47,98,45,18,91,39,15,1,88
1873,Aarav,59,Male,Post Graduation,Photography,70,59,42,92,26,82,45,44,74
1876,Aarav,29,Male,Post Graduation,Traveling,55,68,72,25,47,28,76,51,35
1879,Priya,94,Male,School,Writing,45,70,78,37,56,70,57,34,33
1880,Krishna,97,Male,School,Sports,82,80,29,66,57,15,35,98,86
1885,Krishna,22,Male,Graduation,Painting,69,32,42,36,13,40,72,28,99
1905,Aryan,50,Male,School,Reading,79,6,39,50,90,16,70,78,1
1920,Aditya,73,Male,Post Graduation,Photography,45,47,29,96,87,70,16,23,52
1923,Sanya,59,Male,School,Music,56,32,76,15,7,73,42,20,14
1924,Rohan,62,Female,Post Graduation,Sports,76,72,74,66,22,37,47,2,95
1929,Diya,24,Male,School,Sports,85,69,38,46,72,19,33,60,21
1931,Vivaan,14,Female,School,Dancing,57,50,27,44,89,61,19,53,93
1943,Myra,98,Female,School,Photography,57,35,65,35,74,61,57,64,98
1944,Ishita,71,Female,School,Gaming,71,0,21,79,25,69,25,3,2
1945,Sanya,41,Male,Post Graduation,Reading,83,82,55,7,3,75,72,57,100
1950,Aryan,23,Female,Graduation,Dancing,59,48,43,85,41,0,62,4,17
1956,Aryan,93,Female,Post Graduation,Writing,20,64,19,65,99,51,90,44,100
1961,Rohan,11,Female,Graduation,Dancing,100,68,51,49,80,69,22,22,75
1963,Diya,57,Male,Post Graduation,Music,32,5,83,27,51,5,37,23,12
1982,Kabir,43,Female,Post Graduation,Cooking,5,86,34,60,68,6,63,91,95
1990,Myra,44,Female,Graduation,Sports,65,21,53,19,91,97,42,68,35
1992,Rohan,63,Female,School,Sports,45,30,13,40,3,39,27,6,29
1994,Myra,82,Female,Post Graduation,Painting,10,88,42,92,19,4,8,96,18
2002,Myra,41,Female,School,Writing,21,43,54,75,42,72,86,29,41
2003,Ananya,94,Male,Graduation,Photography,66,86,35,66,92,62,80,28,90
2009,Ananya,78,Male,School,Dancing,63,83,10,58,30,12,67,100,88
2018,Aanya,75,Female,School,Gaming,32,78,89,58,54,59,77,13,89
2025,Priya,88,Female,Graduation,Sports,17,74,78,28,72,15,26,22,39
2026,Myra,33,Male,Post Graduation,Painting,78,21,34,15,71,1,56,96,38
2027,Diya,73,Male,Graduation,Music,26,98,69,53,29,75,1,5,0
2029,Riya,57,Female,School,Writing,8,69,6,33,19,55,8,88,49
2030,Sanya,78,Female,Graduation,Writing,61,39,49,30,83,87,57,6,42
2038,Myra,77,Female,Post Graduation,Photography,79,36,40,74,4,72,90,95,11
2042,Aanya,82,Female,Post Graduation,Gaming,43,83,28,12,73,46,54,23,58
2047,Sanya,66,Male,Graduation,Reading,71,69,80,16,14,15,18,20,75
2055,Sai,24,Female,Graduation,Cooking,28,59,8,83,57,2,100,62,0
2058,Zara,15,Female,Post Graduation,Painting,50,26,54,11,66,85,56,16,76
2062,Myra,27,Male,Graduation,Sports,24,20,46,24,85,79,3,92,5
2068,Ishita,10,Female,School,Gaming,52,19,28,26,92,99,82,11,96
2072,Arjun,82,Male,School,Painting,15,36,33,71,30,52,28,57,93
2078,Tanvi,15,Female,School,Writing,94,73,50,85,22,0,60,65,30
2079,Priya,81,Female,Graduation,Photography,80,73,0,48,73,28,47,41,23
2080,Priya,89,Male,Post Graduation,Photography,6,45,31,81,30,83,16,0,62
2084,Aditya,96,Female,Graduation,Painting,37,10,28,56,3,75,15,41,22
2097,Myra,64,Male,School,Sports,78,15,45,99,69,75,70,52,57
2105,Aryan,93,Male,Graduation,Music,8,42,33,91,52,55,28,13,26
2107,Vihaan,3,Male,School,Writing,35,6,59,75,95,51,59,69,98
2111,Arjun,14,Female,Graduation,Cooking,48,55,8,59,23,6,44,59,75
2136,Aryan,75,Female,Post Graduation,Sports,57,69,59,87,26,22,73,41,2
2137,Vivaan,47,Female,Graduation,Cooking,64,81,32,78,4,5,93,91,8
2141,Krishna,98,Female,Graduation,Gaming,30,17,83,77,30,48,85,78,67
2146,Aryan,85,Male,Post Graduation,Sports,67,29,12,12,62,10,62,99,64
2173,Vivaan,68,Female,School,Photography,100,24,21,91,84,23,99,36,50
2175,Krishna,68,Male,Post Graduation,Gaming,29,50,33,14,41,38,68,7,61
2176,Rohan,87,Male,Post Graduation,Reading,69,60,81,80,29,16,36,18,14
2179,Myra,74,Female,School,Traveling,41,16,71,33,24,83,38,63,17
2203,Vivaan,38,Male,School,Painting,82,53,26,41,32,3,30,17,80
2205,Riya,29,Male,Post Graduation,Traveling,77,63,0,28,3,69,79,25,33
2220,Aanya,61,Female,School,Music,88,81,25,37,59,42,87,54,14
2225,Priya,37,Female,School,Photography,86,16,8,99,13,92,65,97,31
2232,Priya,89,Female,Post Graduation,Dancing,14,58,1,42,13,76,38,10,68
2244,Sanya,28,Male,Graduation,Music,19,82,82,67,8,51,4,98,91
2253,Riya,89,Male,Post Graduation,Painting,16,7,43,72,87,87,3,50,67
2259,Krishna,85,Male,Graduation,Photography,45,76,22,76,89,23,82,0,1
2260,Myra,88,Female,Post Graduation,Gaming,97,17,47,10,67,100,96,22,65
2261,Aditya,36,Female,School,Reading,51,33,29,97,5,15,29,49,37
2264,Priya,1,Female,School,Gaming,59,3,55,9,18,45,54,18,90
2281,Aarav,43,Male,School,Dancing,89,4,10,36,5,15,20,80,27
2284,Ananya,54,Male,Graduation,Painting,12,55,87,48,51,1,79,4,1
2288,Aditya,95,Male,Post Graduation,Cooking,12,87,29,91,61,84,7,41,65
2290,Riya,73,Male,Post Graduation,Music,91,1,53,56,67,65,81,46,77
2309,Diya,39,Male,School,Sports,71,62,30,89,77,45,7,51,3
2312,Sai,24,Male,Graduation,Writing,93,9,0,61,90,83,39,37,93
2319,Ananya,30,Female,Post Graduation,Painting,7,58,67,22,8,9,16,24,1
2320,Aanya,90,Male,Graduation,Gaming,61,11,54,30,39,23,99,80,41
2321,Sanya,41,Male,Graduation,Dancing,58,88,75,87,85,12,53,38,53
2332,Ishita,79,Female,Graduation,Cooking,43,81,41,38,5,62,25,81,33
2334,Aarav,29,Male,School,Dancing,85,37,25,24,71,48,90,75,47
2335,Riya,30,Male,Post Graduation,Cooking,11,23,48,47,28,40,50,38,44
2344,Arjun,62,Male,School,Writing,5,18,61,54,28,30,68,85,32
2345,Priya,24,Male,Graduation,Cooking,16,77,80,1,20,69,59,6,75
2346,Riya,14,Female,Graduation,Music,12,72,91,53,56,90,72,82,1
2349,Arjun,30,Female,Graduation,Writing,59,93,1,15,70,44,87,30,88
2352,Aditya,21,Male,Post Graduation,Dancing,29,95,41,88,30,35,24,59,7
2356,Myra,49,Male,Post Graduation,Gaming,35,6,34,49,56,26,85,99,75
2357,Ananya,80,Female,Post Graduation,Dancing,13,27,5,91,55,79,91,32,40
2369,Rohan,95,Female,Post Graduation,Dancing,27,60,23,87,49,11,73,24,82
2373,Vihaan,49,Female,School,Reading,42,71,31,26,98,97,43,45,59
2375,Riya,16,Female,School,Traveling,42,26,63,43,6,21,26,70,97
2379,Aditya,29,Male,Graduation,Sports,70,52,37,41,40,93,80,58,98
2381,Krishna,93,Female,Graduation,Music,69,56,89,39,27,82,46,45,50
2385,Riya,48,Female,Post Graduation,Cooking,71,53,53,30,26,60,27,79,8
2386,Myra,54,Female,School,Painting,95,67,80,72,33,5,75,64,45
2387,Sanya,40,Female,School,Gaming,59,24,71,30,92,92,45,40,48
2401,Arjun,4,Male,Post Graduation,Cooking,18,78,47,31,31,22,14,69,51
2417,Aditya,60,Female,Post Graduation,Gaming,98,17,76,32,36,93,11,33,1
2418,Priya,47,Female,School,Reading,76,7,10,96,68,26,2,11,14
2419,Aanya,72,Male,School,Cooking,76,97,37,77,88,1,22,61,97
2423,Rohan,9,Female,Graduation,Painting,55,14,9,98,59,41,63,68,52
2426,Sai,84,Female,Post Graduation,Traveling,7,46,60,90,15,30,89,2,91
2431,Ishita,55,Male,Graduation,Painting,3,30,14,5,99,92,6,49,17
2434,Aarav,24,Male,Graduation,Writing,72,34,44,70,37,78,34,24,39
2440,Arjun,19,Female,Post Graduation,Painting,13,47,56,77,95,96,85,21,6
2450,Sai,77,Female,School,Traveling,79,96,85,67,56,63,23,49,12
2455,Arjun,72,Female,Post Graduation,Cooking,86,13,51,80,3,32,38,19,49
2457,Aarav,79,Male,School,Writing,1,65,60,36,23,50,77,55,37
2461,Myra,48,Male,Post Graduation,Sports,95,75,10,4,94,100,21,14,26
2475,Tanvi,31,Female,Post Graduation,Sports,75,25,33,8,23,42,31,67,51
2477,Aarav,96,Female,Graduation,Painting,93,47,93,76,42,90,49,45,93
2480,Krishna,48,Male,Graduation,Sports,20,83,98,8,95,33,16,21,79
2482,Sai,53,Female,Graduation,Traveling,86,53,48,23,25,61,1,12,42
2487,Arjun,17,Female,Post Graduation,Writing,2,49,59,34,86,4,14,72,84
2493,Vihaan,15,Female,Post Graduation,Painting,28,8,46,16,89,58,91,4,73
2511,Kabir,13,Female,School,Traveling,74,64,44,76,10,26,96,66,63
2525,Aryan,83,Female,Graduation,Painting,57,67,34,23,93,31,4,93,34
2528,Aryan,1,Male,School,Dancing,76,51,100,88,34,42,76,87,28
2533,Arjun,79,Female,Post Graduation,Cooking,76,66,27,28,98,24,10,28,9
2534,Zara,26,Male,Post Graduation,Music,90,28,21,63,65,82,32,32,8
2545,Priya,43,Male,Post Graduation,Gaming,56,48,68,27,2,86,39,93,79
2549,Tanvi,96,Male,School,Dancing,4,42,99,45,68,41,81,32,93
2554,Vihaan,14,Female,Post Graduation,Painting,94,63,52,37,5,18,36,90,52
2560,Sai,4,Male,Graduation,Gaming,86,76,76,20,65,53,17,97,10
2567,Sai,57,Male,Post Graduation,Music,10,41,51,76,40,29,17,29,93
2575,Aryan,29,Male,Post Graduation,Cooking,17,73,0,90,88,92,56,20,88
2576,Ishita,19,Male,Post Graduation,Dancing,2,85,16,7,49,48,63,84,49
2581,Sanya,46,Female,Graduation,Writing,100,29,98,19,82,45,48,45,33
2589,Arjun,46,Female,School,Dancing,8,38,65,53,43,51,29,57,71
2595,Tanvi,23,Male,School,Reading,61,9,63,55,8,21,2,13,28
2606,Aarav,22,Male,Graduation,Reading,25,9,69,69,92,87,89,55,23
2609,Krishna,84,Female,School,Sports,37,21,80,37,37,28,14,85,23
2614,Vivaan,1,Female,School,Music,22,3,62,13,37,83,2,89,95
2619,Aryan,29,Female,Post Graduation,Reading,40,48,80,17,2,37,16,34,5
2622,Myra,92,Female,Post Graduation,Gaming,85,43,32,16,85,24,59,58,44
2624,Vivaan,5,Male,Graduation,Cooking,94,14,33,14,85,56,24,90,38
2626,Tanvi,13,Female,Graduation,Cooking,79,55,54,8,10,58,80,64,89
2627,Aditya,69,Female,School,Traveling,81,21,37,66,96,87,16,83,57
2629,Krishna,43,Female,Graduation,Traveling,21,91,53,78,92,13,88,35,24
2632,Ananya,36,Female,Graduation,Cooking,0,15,31,54,56,74,48,77,5
2634,Sanya,94,Male,Graduation,Writing,78,9,33,47,12,25,78,14,50
2639,Aryan,9,Female,Graduation,Music,73,4,99,26,99,9,46,37,57
2640,Diya,60,Male,Post Graduation,Photography,12,65,13,29,33,50,73,91,68
2643,Vihaan,16,Female,Post Graduation,Dancing,9,26,1,22,24,78,98,25,26
2657,Ishita,11,Female,Graduation,Painting,92,81,86,91,2,15,100,70,14
2663,Aanya,24,Male,School,Cooking,20,74,18,100,84,50,70,16,64
2680,Arjun,74,Female,Graduation,Reading,12,27,93,38,72,90,71,27,56
2681,Rohan,55,Female,Graduation,Writing,79,24,58,11,52,97,46,72,13
2685,Aditya,67,Female,School,Music,79,54,88,1,26,47,93,74,8
2698,Arjun,72,Male,School,Sports,78,3,12,78,14,26,33,58,77
2699,Riya,41,Male,Post Graduation,Photography,42,81,17,92,86,20,10,94,28
2709,Krishna,94,Male,Graduation,Photography,49,28,67,37,8,71,50,98,69
2714,Sanya,73,Female,School,Writing,77,53,29,17,95,22,93,56,35
2724,Zara,69,Male,Graduation,Painting,50,27,14,20,41,65,87,64,73
2725,Priya,1,Female,School,Writing,57,42,63,4,43,88,67,95,100
2729,Diya,66,Male,Post Graduation,Cooking,40,13,79,45,45,61,98,84,61
2736,Zara,92,Male,Post Graduation,Photography,19,55,100,91,26,38,24,32,46
2739,Arjun,17,Male,Post Graduation,Painting,56,35,53,38,9,63,23,56,35
2742,Tanvi,10,Female,School,Photography,4,15,53,14,70,44,74,44,16
2748,Myra,48,Female,Graduation,Music,87,18,84,96,94,38,52,53,27
2751,Riya,12,Male,Post Graduation,Music,16,39,40,91,5,3,40,79,51
2752,Aditya,55,Male,Post Graduation,Sports,43,0,52,20,27,72,57,13,30
2753,Aarav,14,Male,School,Painting,100,77,5,61,34,3,25,100,95
2754,Diya,53,Female,Post Graduation,Dancing,73,35,35,72,29,65,70,72,42
2761,Sai,85,Male,Post Graduation,Writing,51,46,98,16,89,52,59,51,90
2765,Aanya,43,Male,Post Graduation,Cooking,67,95,38,19,45,25,87,78,25
2774,Vihaan,74,Female,School,Painting,38,57,71,88,30,7,16,60,82
2779,Vihaan,43,Female,Post Graduation,Reading,34,2,9,11,37,62,3,64,98
2781,Aditya,50,Female,Post Graduation,Writing,31,3,56,68,11,34,31,16,17
2782,Kabir,68,Male,School,Sports,46,96,8,78,75,60,92,28,30
2786,Vihaan,10,Male,Post Graduation,Reading,70,87,55,20,55,55,66,98,37
2806,Diya,19,Male,Graduation,Traveling,98,46,38,33,26,13,96,94,30
2808,Sanya,39,Female,Post Graduation,Writing,34,5,8,17,55,66,80,90,48
2814,Kabir,6,Male,Post Graduation,Painting,14,20,43,97,14,8,26,16,87
2816,Kabir,52,Female,Graduation,Reading,16,81,93,26,31,81,45,25,38
2820,Tanvi,29,Female,Post Graduation,Dancing,65,99,86,90,92,81,91,85,64
2822,Krishna,82,Female,School,Reading,49,65,73,1,67,11,82,95,77
2824,Ananya,88,Female,School,Music,97,25,47,16,37,65,9,38,93
2825,Tanvi,47,Female,School,Reading,63,62,35,5,66,51,48,52,5
2826,Vihaan,48,Male,Graduation,Sports,37,73,39,4,95,83,16,35,86
2831,Priya,31,Male,Graduation,Sports,97,51,15,30,45,96,100,88,81
2834,Vihaan,29,Male,Post Graduation,Music,98,2,83,45,89,92,81,55,68
2851,Myra,16,Female,School,Cooking,2,85,12,10,56,25,100,27,20
2857,Vihaan,68,Male,Graduation,Music,49,15,49,67,79,8,94,12,8
2873,Krishna,59,Female,Graduation,Reading,97,77,49,60,13,33,73,45,86
2882,Aditya,13,Male,Graduation,Traveling,93,99,24,28,1,43,67,81,57
2884,Rohan,26,Female,Graduation,Gaming,2,42,87,7,70,97,90,96,34
2887,Tanvi,93,Female,Graduation,Traveling,2,18,52,32,13,81,98,30,58
2888,Priya,21,Male,Post Graduation,Traveling,96,87,65,67,84,87,60,44,38
2899,Priya,66,Male,Post Graduation,Writing,41,31,87,62,24,33,31,93,98
2902,Krishna,17,Male,School,Writing,6,95,0,70,11,98,63,71,51
2906,Tanvi,74,Female,School,Writing,39,80,98,21,55,22,90,67,9
2915,Krishna,20,Female,School,Reading,71,46,64,16,48,40,64,9,96
2921,Tanvi,67,Male,Graduation,Writing,26,5,82,5,28,58,49,80,45
2923,Vihaan,77,Male,Post Graduation,Cooking,3,58,51,24,67,8,14,40,82
2927,Zara,7,Female,Graduation,Sports,42,16,39,92,41,34,16,92,99
2929,Vivaan,54,Female,Post Graduation,Music,5,74,77,22,39,67,40,51,87
2931,Kabir,1,Female,School,Photography,65,61,58,94,7,50,51,32,0
2938,Vivaan,6,Female,Post Graduation,Gaming,61,48,93,3,16,6,6,56,57
2941,Arjun,12,Female,Graduation,Traveling,77,85,14,53,33,39,59,83,60
2946,Aditya,97,Female,School,Cooking,64,58,46,15,65,7,7,40,96
2956,Sai,3,Female,Post Graduation,Writing,59,29,16,78,2,28,19,65,50
2960,Tanvi,54,Female,School,Gaming,4,51,18,77,70,91,15,87,57
2976,Riya,36,Male,School,Writing,56,47,80,54,26,97,27,43,89
2978,Diya,15,Male,Post Graduation,Sports,35,34,91,50,61,74,13,79,27
2981,Tanvi,5,Female,School,Cooking,12,19,72,39,92,68,65,94,31
2986,Arjun,59,Male,Graduation,Music,24,31,97,19,82,35,41,12,62
2990,Aarav,17,Male,Graduation,Sports,53,20,54,85,31,93,12,33,37
2992,Krishna,38,Male,School,Gaming,61,68,88,59,71,31,88,93,56
2993,Vihaan,18,Male,Graduation,Sports,95,89,55,35,58,70,68,34,68
2996,Ananya,3,Female,Post Graduation,Sports,96,79,17,49,56,60,76,88,46
3001,Aanya,78,Female,Graduation,Photography,30,19,43,70,95,76,6,19,96
3010,Tanvi,16,Female,Graduation,Sports,47,45,32,76,95,91,89,50,97
3013,Tanvi,84,Female,Graduation,Photography,53,96,76,71,24,96,91,84,15
3021,Ishita,81,Male,Graduation,Music,52,58,7,4,41,57,16,4,42
3031,Zara,88,Female,Graduation,Reading,58,14,17,46,13,41,76,2,19
3034,Zara,37,Female,School,Cooking,57,8,10,40,66,95,67,70,93
3039,Vihaan,10,Male,Post Graduation,Sports,30,84,72,87,88,7,46,4,34
3041,Ananya,11,Female,Graduation,Traveling,33,25,15,3,4,42,11,60,39
3043,Aryan,8,Male,Graduation,Music,70,75,91,53,5,46,69,8,42
3060,Aditya,21,Male,School,Music,76,51,29,63,44,84,94,90,13
3079,Riya,28,Male,Graduation,Traveling,60,100,77,5,9,90,9,61,82
3081,Kabir,59,Female,Graduation,Traveling,38,49,29,93,24,91,22,8,89
3085,Priya,4,Female,Graduation,Writing,52,97,46,80,26,66,94,37,65
3086,Krishna,23,Male,School,Dancing,20,96,34,16,94,81,39,32,0
3089,Diya,13,Female,School,Painting,12,22,93,6,47,23,7,99,59
3096,Rohan,91,Female,Graduation,Traveling,1,14,5,58,14,58,61,43,3
3101,Vivaan,55,Female,Graduation,Photography,90,19,56,18,50,44,98,50,22
3104,Aryan,9,Male,Post Graduation,Reading,67,89,61,84,51,16,43,21,69
3107,Aarav,77,Male,School,Cooking,83,97,95,84,56,52,96,72,64
3130,Sai,71,Male,School,Reading,32,98,95,96,94,60,56,80,33
3132,Priya,36,Male,Graduation,Traveling,50,51,100,97,9,74,61,83,41
3138,Ananya,98,Female,Post Graduation,Music,76,63,26,73,19,99,53,29,33
3142,Aditya,21,Female,Graduation,Writing,79,65,51,87,2,16,72,68,18
3143,Aanya,96,Male,Post Graduation,Reading,37,90,64,54,63,81,89,14,99
3148,Riya,23,Male,Graduation,Cooking,89,10,34,96,9,61,13,89,26
3159,Vihaan,7,Male,School,Painting,98,97,79,67,95,71,41,4,82
3171,Sai,9,Female,School,Dancing,72,90,77,8,42,50,1,57,85
3172,Sanya,37,Female,Post Graduation,Reading,73,89,67,47,15,52,45,97,49
3178,Diya,28,Female,School,Music,7,26,54,89,25,97,15,3,71
3186,Sai,45,Male,School,Painting,36,56,41,34,34,20,16,85,27
3188,Vihaan,99,Male,Graduation,Traveling,78,45,21,4,74,94,80,63,81
3189,Ananya,89,Female,Post Graduation,Writing,32,74,27,78,67,25,55,65,45
3191,Vihaan,98,Female,Post Graduation,Reading,47,28,38,57,72,49,4,73,68
3213,Tanvi,17,Female,School,Reading,37,50,88,47,98,45,61,73,90
3214,Sanya,11,Female,School,Dancing,16,81,93,95,20,6,59,37,98
3218,Vivaan,38,Male,Post Graduation,Photography,36,45,1,74,42,27,73,17,73
3223,Priya,46,Male,School,Sports,94,5,25,51,80,70,21,70,41
3224,Aarav,17,Female,Graduation,Cooking,72,95,55,29,99,3,84,10,79
3240,Sanya,75,Female,Graduation,Reading,76,80,68,65,6,9,27,37,30
3245,Aryan,11,Female,Graduation,Music,0,88,6,71,85,59,88,32,7
3248,Aanya,92,Male,Graduation,Photography,1,23,96,10,10,44,16,29,58
3262,Krishna,84,Female,School,Writing,29,28,50,5,43,91,83,32,0
3265,Riya,28,Male,Graduation,Reading,2,48,6,44,4,100,83,18,12
3277,Sai,99,Male,School,Reading,59,73,0,72,75,9,68,57,18
3285,Aanya,56,Female,Graduation,Painting,26,11,77,70,38,43,16,54,8
3290,Priya,90,Male,School,Sports,39,2,57,66,34,23,25,86,3
3298,Priya,91,Female,Graduation,Cooking,81,36,46,6,30,97,54,12,81
3303,Vivaan,43,Female,Graduation,Music,71,16,26,36,70,87,61,60,77
3315,Diya,25,Female,Graduation,Traveling,96,42,51,40,11,67,12,73,51
3316,Aditya,25,Male,School,Gaming,37,86,7,81,44,100,18,21,50
3322,Ananya,13,Female,School,Reading,92,87,2,25,3,6,76,95,64
3326,Aryan,90,Female,Post Graduation,Painting,37,22,20,46,95,25,43,40,58
3330,Vivaan,54,Male,Graduation,Traveling,80,50,41,73,89,45,56,25,35
3331,Aryan,33,Male,Graduation,Dancing,81,35,8,92,97,34,2,34,50
3351,Diya,90,Female,Post Graduation,Dancing,21,86,97,44,58,15,70,66,68
3358,Tanvi,92,Male,Post Graduation,Cooking,39,75,72,9,35,86,86,12,53
3360,Myra,72,Female,School,Painting,71,8,45,54,72,90,55,51,81
3376,Riya,62,Female,Post Graduation,Cooking,13,3,58,9,67,20,26,45,77
3377,Vihaan,77,Male,School,Writing,15,79,92,53,7,81,63,79,62
3378,Vivaan,5,Female,Graduation,Music,94,46,9,51,55,11,18,63,94
3383,Aditya,90,Male,Post Graduation,Music,9,22,80,63,67,67,16,5,53
3384,Sanya,75,Female,School,Photography,41,99,58,20,16,32,39,29,80
3385,Sai,1,Female,Post Graduation,Photography,7,20,54,69,72,72,27,88,1
3387,Kabir,31,Female,School,Painting,30,34,15,16,83,31,84,85,37
3390,Aanya,1,Female,Graduation,Cooking,65,66,24,48,85,95,9,43,11
3391,Aditya,90,Female,School,Reading,95,5,98,99,68,37,8,28,80
3393,Vihaan,21,Female,Post Graduation,Photography,44,61,32,60,96,35,72,3,99
3394,Myra,78,Male,Post Graduation,Gaming,53,10,18,24,59,54,20,68,70
3397,Zara,83,Male,School,Music,87,52,68,80,19,48,2,98,68
3401,Diya,81,Male,Post Graduation,Painting,25,8,61,31,87,44,94,80,39
3409,Riya,84,Male,Graduation,Cooking,4,34,82,53,4,73,72,5,67
3411,Sanya,31,Female,Graduation,Traveling,74,100,1,43,90,10,8,5,52
3412,Arjun,62,Male,Post Graduation,Writing,70,82,76,33,38,38,86,1,24
3428,Priya,39,Male,School,Painting,35,34,6,58,6,6,13,71,68
3429,Sanya,24,Male,Graduation,Gaming,22,24,22,13,15,79,56,7,37
3433,Sanya,44,Female,Post Graduation,Gaming,29,40,78,64,19,5,99,62,14
3434,Vihaan,35,Female,School,Photography,90,55,75,6,44,79,34,94,65
3439,Tanvi,81,Female,School,Sports,26,48,39,77,30,38,96,1,10
3447,Aditya,23,Female,Post Graduation,Writing,10,91,84,6,92,35,22,35,1
3455,Aarav,28,Male,School,Sports,47,77,20,18,25,100,11,44,49
3457,Ananya,13,Female,School,Traveling,53,15,50,32,22,94,50,93,49
3459,Rohan,91,Male,School,Sports,89,50,74,38,60,34,62,70,73
3467,Zara,76,Male,Post Graduation,Painting,78,5,20,19,5,2,17,89,35
3470,Aarav,33,Male,Graduation,Sports,44,2,3,18,15,8,17,75,89
3471,Priya,57,Male,Post Graduation,Reading,3,73,45,63,31,98,60,66,14
3477,Aanya,90,Female,Graduation,Painting,6,93,43,1,54,94,11,69,78
3478,Aanya,47,Female,Graduation,Reading,71,44,13,34,12,36,98,60,51
3480,Tanvi,48,Female,School,Painting,24,7,52,19,61,35,65,82,37
